NAICS_code,Industry_Title,Num_Businesses
311352,Confectionery Manufacturing from Purchased Chocolate,302
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,3550
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",501
311412,Frozen Specialty Food Manufacturing,608
311421,Fruit and Vegetable Canning,1583
311422,Specialty Canning,567
311423,Dried and Dehydrated Food Manufacturing,291
3115,Dairy Product Manufacturing,3910
311511,Fluid Milk Manufacturing,658
311512,Creamery Butter Manufacturing,202
311513,Cheese Manufacturing,963
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",786
311520,Ice Cream and Frozen Dessert Manufacturing,1301
3116,Animal Slaughtering and Processing,4224
311611,Animal (except Poultry) Slaughtering,2006
311612,Meat Processed from Carcasses,1260
311613,Rendering and Meat Byproduct Processing,286
311615,Poultry Processing,672
3117,Seafood Product Preparation and Packaging,726
311710,Seafood Product Preparation and Packaging,726
3118,Bakeries and Tortilla Manufacturing,26517
311811,Retail Bakeries,20238
311812,Commercial Bakeries,4143
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",247
311821,Cookie and Cracker Manufacturing,688
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",549
311830,Tortilla Manufacturing,652
3119,Other Food Manufacturing,7570
311911,Roasted Nuts and Peanut Butter Manufacturing,237
311919,Other Snack Food Manufacturing,571
311920,Coffee and Tea Manufacturing,896
311930,Flavoring Syrup and Concentrate Manufacturing,276
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",523
311942,Spice and Extract Manufacturing,1332
311991,Perishable Prepared Food Manufacturing,367
311999,All Other Miscellaneous Food Manufacturing,3368
3121,Beverage Manufacturing,13157
312111,Soft Drink Manufacturing,2332
312112,Bottled Water Manufacturing,470
312113,Ice Manufacturing,517
312120,Breweries,2220
312130,Wineries,6467
312140,Distilleries,1151
3122,Tobacco Manufacturing,470
312230,Tobacco Manufacturing,470
3131,"Fiber, Yarn, and Thread Mills",730
313110,"Fiber, Yarn, and Thread Mills",730
3132,Fabric Mills,4996
313210,Broadwoven Fabric Mills,4133
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,446
313230,Nonwoven Fabric Mills,209
313240,Knit Fabric Mills,208
3133,Textile and Fabric Finishing and Fabric Coating Mills,1479
313310,Textile and Fabric Finishing Mills,1123
313320,Fabric Coating Mills,356
3141,Textile Furnishings Mills,2676
314110,Carpet and Rug Mills,1071
314120,Curtain and Linen Mills,1605
3149,Other Textile Product Mills,13346
314910,Textile Bag and Canvas Mills,2026
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",373
314999,All Other Miscellaneous Textile Product Mills,10947
3151,Apparel Knitting Mills,1391
315110,Hosiery and Sock Mills,621
315190,Other Apparel Knitting Mills,770
3152,Cut and Sew Apparel Manufacturing,7787
315210,Cut and Sew Apparel Contractors,358
315220,Men?s and Boys? Cut and Sew Apparel Manufacturing,2944
315240,"Women?s, Girls?, and Infants? Cut and Sew Apparel Manufacturing",3456
315280,Other Cut and Sew Apparel Manufacturing,1029
3159,Apparel Accessories and Other Apparel Manufacturing,2341
315990,Apparel Accessories and Other Apparel Manufacturing,2341
3161,Leather and Hide Tanning and Finishing,734
316110,Leather and Hide Tanning and Finishing,734
3162,Footwear Manufacturing,728
316210,Footwear Manufacturing,728
3169,Other Leather and Allied Product Manufacturing,3965
316992,Women's Handbag and Purse Manufacturing,314
316998,All Other Leather Good and Allied Product Manufacturing,3651
3211,Sawmills and Wood Preservation,2923
321113,Sawmills,2314
321114,Wood Preservation,609
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1575
321211,Hardwood Veneer and Plywood Manufacturing,292
321212,Softwood Veneer and Plywood Manufacturing,77
321213,Engineered Wood Member (except Truss) Manufacturing,60
321214,Truss Manufacturing,841
321219,Reconstituted Wood Product Manufacturing,305
3219,Other Wood Product Manufacturing,25178
321911,Wood Window and Door Manufacturing,1310
321912,"Cut Stock, Resawing Lumber, and Planing",1214
321918,Other Millwork (including Flooring),13148
321920,Wood Container and Pallet Manufacturing,3138
321991,Manufactured Home (Mobile Home) Manufacturing,631
321992,Prefabricated Wood Building Manufacturing,1115
321999,All Other Miscellaneous Wood Product Manufacturing,4622
3221,"Pulp, Paper, and Paperboard Mills",3015
322110,Pulp Mills,352
322121,Paper (except Newsprint) Mills,1898
322122,Newsprint Mills,30
322130,Paperboard Mills,735
3222,Converted Paper Product Manufacturing,6037
322211,Corrugated and Solid Fiber Box Manufacturing,1608
322212,Folding Paperboard Box Manufacturing,179
322219,Other Paperboard Container Manufacturing,664
322220,Paper Bag and Coated and Treated Paper Manufacturing,1608
322230,Stationery Product Manufacturing,421
322291,Sanitary Paper Product Manufacturing,340
322299,All Other Converted Paper Product Manufacturing,1217
3231,Printing and Related Support Activities,52116
323111,Commercial Printing (except Screen and Books),43787
323113,Commercial Screen Printing,6182
323117,Books Printing,397
323120,Support Activities for Printing,1750
3241,Petroleum and Coal Products Manufacturing,4220
324110,Petroleum Refineries,1614
324121,Asphalt Paving Mixture and Block Manufacturing,1294
324122,Asphalt Shingle and Coating Materials Manufacturing,480
324191,Petroleum Lubricating Oil and Grease Manufacturing,669
324199,All Other Petroleum and Coal Products Manufacturing,163
3251,Basic Chemical Manufacturing,8705
325110,Petrochemical Manufacturing,1545
325120,Industrial Gas Manufacturing,1409
325130,Synthetic Dye and Pigment Manufacturing,284
325180,Other Basic Inorganic Chemical Manufacturing,3364
325193,Ethyl Alcohol Manufacturing,188
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",207
325199,All Other Basic Organic Chemical Manufacturing,1708
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",2710
325211,Plastics Material and Resin Manufacturing,2263
325212,Synthetic Rubber Manufacturing,225
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,222
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2014
325311,Nitrogenous Fertilizer Manufacturing,448
325312,Phosphatic Fertilizer Manufacturing,100
325314,Fertilizer (Mixing Only) Manufacturing,529
325320,Pesticide and Other Agricultural Chemical Manufacturing,937
3254,Pharmaceutical and Medicine Manufacturing,11133
325411,Medicinal and Botanical Manufacturing,1100
325412,Pharmaceutical Preparation Manufacturing,8052
325413,In-Vitro Diagnostic Substance Manufacturing,165
325414,Biological Product (except Diagnostic) Manufacturing,1816
3255,"Paint, Coating, and Adhesive Manufacturing",3396
325510,Paint and Coating Manufacturing,2150
325520,Adhesive Manufacturing,1246
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",7114
325611,Soap and Other Detergent Manufacturing,1190
325612,Polish and Other Sanitation Good Manufacturing,1864
325613,Surface Active Agent Manufacturing,160
325620,Toilet Preparation Manufacturing,3900
3259,Other Chemical Product and Preparation Manufacturing,4454
325910,Printing Ink Manufacturing,615
325920,Explosives Manufacturing,227
325991,Custom Compounding of Purchased Resins,151
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3136
3261,Plastics Product Manufacturing,13599
326111,Plastics Bag and Pouch Manufacturing,346
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,173
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,782
326121,Unlaminated Plastics Profile Shape Manufacturing,202
326122,Plastics Pipe and Pipe Fitting Manufacturing,365
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",368
326140,Polystyrene Foam Product Manufacturing,60
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1167
326160,Plastics Bottle Manufacturing,274
326191,Plastics Plumbing Fixture Manufacturing,318
326199,All Other Plastics Product Manufacturing,9544
3262,Rubber Product Manufacturing,2945
326211,Tire Manufacturing (except Retreading),489
326212,Tire Retreading,123
326220,Rubber and Plastics Hoses and Belting Manufacturing,346
326291,Rubber Product Manufacturing for Mechanical Use,244
326299,All Other Rubber Product Manufacturing,1743
3271,Clay Product and Refractory Manufacturing,2459
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",1377
327120,Clay Building Material and Refractories Manufacturing,1082
3272,Glass and Glass Product Manufacturing,3817
327211,Flat Glass Manufacturing,649
327212,Other Pressed and Blown Glass and Glassware Manufacturing,1129
327213,Glass Container Manufacturing,261
327215,Glass Product Manufacturing Made of Purchased Glass,1778
3273,Cement and Concrete Product Manufacturing,10392
327310,Cement Manufacturing,508
327320,Ready-Mix Concrete Manufacturing,4806
327331,Concrete Block and Brick Manufacturing,806
327332,Concrete Pipe Manufacturing,167
327390,Other Concrete Product Manufacturing,4105
3274,Lime and Gypsum Product Manufacturing,1230
327410,Lime Manufacturing,209
327420,Gypsum Product Manufacturing,1021
3279,Other Nonmetallic Mineral Product Manufacturing,3743
327910,Abrasive Product Manufacturing,568
327991,Cut Stone and Stone Product Manufacturing,2114
327992,Ground or Treated Mineral and Earth Manufacturing,363
327993,Mineral Wool Manufacturing,280
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,418
3311,Iron and Steel Mills and Ferroalloy Manufacturing,2439
331110,Iron and Steel Mills and Ferroalloy Manufacturing,2439
3312,Steel Product Manufacturing from Purchased Steel,1581
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,573
331221,Rolled Steel Shape Manufacturing,543
331222,Steel Wire Drawing,465
3313,Alumina and Aluminum Production and Processing,1147
331313,Alumina Refining and Primary Aluminum Production,238
331314,Secondary Smelting and Alloying of Aluminum,61
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",232
331318,"Other Aluminum Rolling, Drawing, and Extruding",616
3314,Nonferrous Metal (except Aluminum) Production and Processing,1872
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,494
331420,"Copper Rolling, Drawing, Extruding, and Alloying",424
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",668
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",286
3315,Foundries,2644
331511,Iron Foundries,476
331512,Steel Investment Foundries,233
331513,Steel Foundries (except Investment),306
331523,Nonferrous Metal Die-Casting Foundries,427
331524,Aluminum Foundries (except Die-Casting),475
331529,Other Nonferrous Metal Foundries (except Die-Casting),727
3321,Forging and Stamping,3965
332111,Iron and Steel Forging,999
332112,Nonferrous Forging,127
332114,Custom Roll Forming,33
332117,Powder Metallurgy Part Manufacturing,51
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",2755
3322,Cutlery and Handtool Manufacturing,3359
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",1548
332216,Saw Blade and Handtool Manufacturing,1811
3323,Architectural and Structural Metals Manufacturing,20667
332311,Prefabricated Metal Building and Component Manufacturing,1727
332312,Fabricated Structural Metal Manufacturing,7388
332313,Plate Work Manufacturing,1876
332321,Metal Window and Door Manufacturing,1897
332322,Sheet Metal Work Manufacturing,5265
332323,Ornamental and Architectural Metal Work Manufacturing,2514
3324,"Boiler, Tank, and Shipping Container Manufacturing",1324
332410,Power Boiler and Heat Exchanger Manufacturing,202
332420,Metal Tank (Heavy Gauge) Manufacturing,364
332431,Metal Can Manufacturing,432
332439,Other Metal Container Manufacturing,326
3325,Hardware Manufacturing,1814
332510,Hardware Manufacturing,1814
3326,Spring and Wire Product Manufacturing,2058
332613,Spring Manufacturing,463
332618,Other Fabricated Wire Product Manufacturing,1595
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",19706
332710,Machine Shops,17765
332721,Precision Turned Product Manufacturing,1038
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",903
3328,"Coating, Engraving, Heat Treating, and Allied Activities",8066
332811,Metal Heat Treating,738
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",4327
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",3001
3329,Other Fabricated Metal Product Manufacturing,8933
332911,Industrial Valve Manufacturing,817
332912,Fluid Power Valve and Hose Fitting Manufacturing,406
332913,Plumbing Fixture Fitting and Trim Manufacturing,489
332919,Other Metal Valve and Pipe Fitting Manufacturing,662
332991,Ball and Roller Bearing Manufacturing,340
332992,Small Arms Ammunition Manufacturing,296
332993,Ammunition (except Small Arms) Manufacturing,118
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",1153
332996,Fabricated Pipe and Pipe Fitting Manufacturing,831
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,3821
3331,"Agriculture, Construction, and Mining Machinery Manufacturing",9451
333111,Farm Machinery and Equipment Manufacturing,3226
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,568
333120,Construction Machinery Manufacturing,3536
333131,Mining Machinery and Equipment Manufacturing,532
333132,Oil and Gas Field Machinery and Equipment Manufacturing,1589
3332,Industrial Machinery Manufacturing,6530
333241,Food Product Machinery Manufacturing,1286
333242,Semiconductor Machinery Manufacturing,252
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",1109
333244,Printing Machinery and Equipment Manufacturing,673
333249,Other Industrial Machinery Manufacturing,3210
3333,Commercial and Service Industry Machinery Manufacturing,7189
333314,Optical Instrument and Lens Manufacturing,1203
333316,Photographic and Photocopying Equipment Manufacturing,922
333318,Other Commercial and Service Industry Machinery Manufacturing,5064
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",4380
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,1051
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,701
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,2628
3335,Metalworking Machinery Manufacturing,10355
333511,Industrial Mold Manufacturing,1187
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",3415
333515,Cutting Tool and Machine Tool Accessory Manufacturing,1887
333517,Machine Tool Manufacturing,3019
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,847
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",2258
333611,Turbine and Turbine Generator Set Units Manufacturing,649
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",288
333613,Mechanical Power Transmission Equipment Manufacturing,467
333618,Other Engine Equipment Manufacturing,854
3339,Other General Purpose Machinery Manufacturing,13976
333912,Air and Gas Compressor Manufacturing,643
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",1430
333921,Elevator and Moving Stairway Manufacturing,337
333922,Conveyor and Conveying Equipment Manufacturing,1039
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",702
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",1598
333991,Power-Driven Handtool Manufacturing,375
333992,Welding and Soldering Equipment Manufacturing,468
333993,Packaging Machinery Manufacturing,816
333994,Industrial Process Furnace and Oven Manufacturing,547
333995,Fluid Power Cylinder and Actuator Manufacturing,180
333996,Fluid Power Pump and Motor Manufacturing,288
333997,Scale and Balance Manufacturing,252
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,5301
3341,Computer and Peripheral Equipment Manufacturing,5677
334111,Electronic Computer Manufacturing,1927
334112,Computer Storage Device Manufacturing,1116
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,2634
3342,Communications Equipment Manufacturing,5535
334210,Telephone Apparatus Manufacturing,1203
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,3084
334290,Other Communications Equipment Manufacturing,1248
3343,Audio and Video Equipment Manufacturing,1815
334310,Audio and Video Equipment Manufacturing,1815
3344,Semiconductor and Other Electronic Component Manufacturing,9365
334412,Bare Printed Circuit Board Manufacturing,267
334413,Semiconductor and Related Device Manufacturing,3676
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",709
334417,Electronic Connector Manufacturing,420
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,1172
334419,Other Electronic Component Manufacturing,3121
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",16427
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2499
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",3371
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",1139
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",2269
334514,Totalizing Fluid Meter and Counting Device Manufacturing,346
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,1810
334516,Analytical Laboratory Instrument Manufacturing,1840
334517,Irradiation Apparatus Manufacturing,270
334519,Other Measuring and Controlling Device Manufacturing,2883
3346,Manufacturing and Reproducing Magnetic and Optical Media,2149
334613,Blank Magnetic and Optical Recording Media Manufacturing,447
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",1702
3351,Electric Lighting Equipment Manufacturing,3997
335110,Electric Lamp Bulb and Part Manufacturing,365
335121,Residential Electric Lighting Fixture Manufacturing,594
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",887
335129,Other Lighting Equipment Manufacturing,2151
3352,Household Appliance Manufacturing,1515
335210,Small Electrical Appliance Manufacturing,750
335220,Major Household Appliance Manufacturing,765
3353,Electrical Equipment Manufacturing,4889
335311,"Power, Distribution, and Specialty Transformer Manufacturing",737
335312,Motor and Generator Manufacturing,1438
335313,Switchgear and Switchboard Apparatus Manufacturing,824
335314,Relay and Industrial Control Manufacturing,1890
3359,Other Electrical Equipment and Component Manufacturing,7624
335911,Storage Battery Manufacturing,517
335912,Primary Battery Manufacturing,88
335921,Fiber Optic Cable Manufacturing,169
335929,Other Communication and Energy Wire Manufacturing,147
335931,Current-Carrying Wiring Device Manufacturing,748
335932,Noncurrent-Carrying Wiring Device Manufacturing,577
335991,Carbon and Graphite Product Manufacturing,257
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,5121
3361,Motor Vehicle Manufacturing,1659
336111,Automobile Manufacturing,1174
336112,Light Truck and Utility Vehicle Manufacturing,74
336120,Heavy Duty Truck Manufacturing,411
3362,Motor Vehicle Body and Trailer Manufacturing,2737
336211,Motor Vehicle Body Manufacturing,922
336212,Truck Trailer Manufacturing,1005
336213,Motor Home Manufacturing,92
336214,Travel Trailer and Camper Manufacturing,718
3363,Motor Vehicle Parts Manufacturing,8005
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,671
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,1096
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,143
336340,Motor Vehicle Brake System Manufacturing,167
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,427
336360,Motor Vehicle Seating and Interior Trim Manufacturing,397
336370,Motor Vehicle Metal Stamping,704
336390,Other Motor Vehicle Parts Manufacturing,4400
3364,Aerospace Product and Parts Manufacturing,6465
336411,Aircraft Manufacturing,2429
336412,Aircraft Engine and Engine Parts Manufacturing,1092
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,2553
336414,Guided Missile and Space Vehicle Manufacturing,167
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,146
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,78
3365,Railroad Rolling Stock Manufacturing,549
336510,Railroad Rolling Stock Manufacturing,549
3366,Ship and Boat Building,3466
336611,Ship Building and Repairing,962
336612,Boat Building,2504
3369,Other Transportation Equipment Manufacturing,2218
336991,"Motorcycle, Bicycle, and Parts Manufacturing",1169
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",206
336999,All Other Transportation Equipment Manufacturing,843
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,20023
337110,Wood Kitchen Cabinet and Countertop Manufacturing,13025
337121,Upholstered Household Furniture Manufacturing,833
337122,Nonupholstered Wood Household Furniture Manufacturing,3112
337124,Metal Household Furniture Manufacturing,396
337125,Household Furniture (except Wood and Metal) Manufacturing,450
337127,Institutional Furniture Manufacturing,2207
3372,Office Furniture (including Fixtures) Manufacturing,3212
337211,Wood Office Furniture Manufacturing,837
337212,Custom Architectural Woodwork and Millwork Manufacturing,889
337214,Office Furniture (except Wood) Manufacturing,523
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",963
3379,Other Furniture Related Product Manufacturing,1738
337910,Mattress Manufacturing,646
337920,Blind and Shade Manufacturing,1092
3391,Medical Equipment and Supplies Manufacturing,20292
339112,Surgical and Medical Instrument Manufacturing,5084
339113,Surgical Appliance and Supplies Manufacturing,4309
339114,Dental Equipment and Supplies Manufacturing,1329
339115,Ophthalmic Goods Manufacturing,980
339116,Dental Laboratories,8590
3399,Other Miscellaneous Manufacturing,70724
339910,Jewelry and Silverware Manufacturing,5176
339920,Sporting and Athletic Goods Manufacturing,8096
339930,"Doll, Toy, and Game Manufacturing",3321
339940,Office Supplies (except Paper) Manufacturing,1607
339950,Sign Manufacturing,19725
339991,"Gasket, Packing, and Sealing Device Manufacturing",770
339992,Musical Instrument Manufacturing,1614
339993,"Fastener, Button, Needle, and Pin Manufacturing",547
339994,"Broom, Brush, and Mop Manufacturing",315
339995,Burial Casket Manufacturing,115
339999,All Other Miscellaneous Manufacturing,29438
42,Wholesale Trade,678455
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,35735
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,8392
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,19928
423130,Tire and Tube Merchant Wholesalers,3306
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,4109
4232,Furniture and Home Furnishing Merchant Wholesalers,25446
423210,Furniture Merchant Wholesalers,10215
423220,Home Furnishing Merchant Wholesalers,15231
4233,Lumber and Other Construction Materials Merchant Wholesalers,38383
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",20898
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",11084
